 AADE Ed J; AADE editors' journal
 Br J Soc Clin Psychol; The British journal of social and clinical psychology
 Br J Sociol; The British journal of sociology
 Br J Sports Med; British journal of sports medicine
 Br J Surg; The British journal of surgery
 Br J Urol; British journal of urology
 Br J Radiol Suppl; British journal of radiology Supplement
 Br J Vener Dis; The British journal of venereal diseases
 Br Med Bull; British medical bulletin
 Br Med J; British medical journal
 Br Med J Clin Res Ed; British medical journal Clinical research ed
 Br Poult Sci; British poultry science
 Fed Regist; Federal register
 Br Vet J; The British veterinary journal
 Brain; Brain  a journal of neurology
 Brain Behav Evol; Brain behavior and evolution
 Brain Lang; Brain and language
 Brain Res; Brain research
 Brain Res Bull; Brain research bulletin
 Bratisl Lek Listy; Bratislavske lekarske listy
 Bristol Med Chir J; Bristol medico-chirurgical journal 1963
 Bronches; Les Bronches
 Bronchopneumologie; Broncho-pneumologie
 Brookhaven Symp Biol; Brookhaven symposia in biology
 Bruns Beitr Klin Chir 1971; Bruns' Beitrage fur klinische Chirurgie
 Brux Med; Bruxelles medical
 BSCS Pam; BSCS pamphlets
 Natl J Wash; National journal
 BTTA Rev; BTTA review
 Buch Augenarzt; Bucherei des Augenarztes
 Build Oper Manage; Building operating management
 Bull Acad Dent Paris; Bulletin de l'Academie dentaire
 Build Syst Des; Building systems design
 Bull Acad Dent Handicap; Bulletin of Academy of Dentistry for the Handicapped
 Wall St J Midwest Ed; Wall Street journal Midwest ed
 Bull Acad Gen Dent; The Bulletin of the Academy of General Dentistry
 Bull Acad Natl Med; Bulletin de l'Academie nationale de medecine
 Bus Horiz; Business horizons
 Burns Incl Therm Inj; Burns including thermal injury
 Bull Acad Pol Sci Biol; Bulletin de l'Academie polonaise des sciences Serie des sciences biologiques
 Bull Acad Chir Dent Paris; Bulletin de l'Academie de chirurgie dentaire
 Bus Insur; Business insurance
 Bull Acad R Med Belg; Bulletin de l'Academie royale de medecine de Belgique
 Acta Vitaminol; Acta vitaminologica
 Adv Vet Sci; Advances in veterinary science
 Adv Food Res Suppl; Advances in food research Supplement
 Ann Clin Lab Sci; Annals of clinical laboratory science
 Bull Acad Vet Fr; Bulletin de l'Academie veterinaire de France
 Bull Am Protestant Hosp Assoc; Bulletin - American Protestant Hospital Association
 Langenbecks Arch Chir Suppl II Verh Dtsch Ges Chir; Langenbecks Archiv fur Chirurgie Supplement II Verhandlungen der Deutschen Gesellschaft fur Chirurgie Deutsche Gesellschaft fur Chirurgie Kongress
 Biomater Artif Cells Artif Organs; Biomaterials artificial cells and artificial organs
 Langenbecks Arch Chir Suppl Kongressbd; Langenbecks Archiv fur Chirurgie Supplement Kongressband Deutsche Gesellschaft fur Chirurgie Kongress
 Microsc Res Tech; Microscopy research and technique
 Funct Dev Morphol; Functional and developmental morphology
 Acta Physiol Pharmacol Ther Latinoam; Acta physiologica pharmacologica et therapeutica latinoamericana  organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia
 Eur J Histochem; European journal of histochemistry  EJH
 Brookings Bull; Brookings bulletin Washington DC  1962
 Sairaanhoitajalehti; Sairaanhoitajalehti
 Bull Akron Dent Soc; Bulletin of the Akron Dental Society
 G Ital Endod; Giornale italiano di endodonzia
 Roum Arch Microbiol Immunol; Roumanian archives of microbiology and immunology
 Bull Am Acad Psychiatry Law; The Bulletin of the American Academy of Psychiatry and the Law
 Scand J Plast Reconstr Surg Hand Surg Suppl; Scandinavian journal of plastic and reconstructive surgery and hand surgery Supplementum
 Bull Am Assoc Dent Ed; The Bulletin - American Association of Dental Editors
 Mol Biol Cell; Molecular biology of the cell
 Bioethics Q; Bioethics quarterly
 Bull Am Assoc Hosp Dent; Bulletin - American Association of Hospital Dentists
 Bull Am Coll Nurse Midwives; Bulletin of the American College of Nurse-Midwives
 Bull Am Coll Nurse Midwifery; Bulletin of the American College of Nurse-Midwifery
 Exec Housekeeper; Executive housekeeper
 Clin Laser Mon; Clinical laser monthly
 Clin Mater; Clinical materials
 Curr Opin Ophthalmol; Current opinion in ophthalmology
 Clin Transplant; Clinical transplantation
 Clin Trials J; Clinical trials journal
 Contemp Orthop; Contemporary orthopaedics
 Appl Cardiopulm Pathophysiol; Applied cardiopulmonary pathophysiology  ACP
 Diagn Imaging San Franc; Diagnostic imaging
 Bull Assoc Anat Nancy; Bulletin de l'Association des anatomistes
 J AHIMA; Journal of AHIMA
 R I Med; Rhode Island medicine
 Nations Bus; Nation's business
 Baillieres Clin Gastroenterol; Bailliere's clinical gastroenterology
 ASAIO J; ASAIO journal American Society for Artificial Internal Organs  1992
 Brain Behav Immun; Brain behavior and immunity
 Bull Assoc Fr Etud Cancer; Bulletin de l'Association francaise pour l'etude du cancer
 Oncol Res; Oncology research
 J Healthc Qual; Journal for healthcare quality  official publication of the National Association for Healthcare Quality
 Manag Compliance Ser; Management and compliance series
 Nonprofit Manag Leadersh; Nonprofit management & leadership
 Arch Ophtalmol Rev Gen Ophtalmol; Archives d'ophtalmologie et revue generale d'ophtalmologie
 Dermatology; Dermatology Basel Switzerland
 Bull Atl Cape May Cty Dent Soc; Bulletin / Atlantic-Cape May County Dental Society
 Ann Pharmacother; The Annals of pharmacotherapy
 J Smooth Muscle Res; Journal of smooth muscle research = Nihon Heikatsukin Gakkai kikanshi
 AAPPO J; AAPPO journal  the journal of the American Association of Preferred Provider Organizations
 J Laser Appl; Journal of laser applications
 J Lithotr Stone Dis; The Journal of lithotripsy & stone disease
 J Long Term Eff Med Implants; Journal of long-term effects of medical implants
 J Neuroimaging; Journal of neuroimaging  official journal of the American Society of Neuroimaging
 J Int Fed Clin Chem; Journal of the International Federation of Clinical Chemistry
 Med Device Technol; Medical device technology
 Contin Care; Continuing care
 Contam Control; Contamination control
 Adv Ther; Advances in therapy
 Am Clin Lab; American clinical laboratory
 Bull Cincinnati Dent Soc; Bulletin - Cincinnati Dental Society
 Anesthesiol Rev; Anesthesiology review
 Assist Technol; Assistive technology  the official journal of RESNA
 Bull Bergen Cty Dent Soc; The Bulletin of the Bergen County Dental Society
 Baillieres Clin Haematol; Bailliere's clinical haematology
 Bull Am Coll Physicians; The Bulletin of the American College of Physicians
 Biomed Sci Technol; Biomedical science and technology
 Clin Intensive Care; Clinical intensive care  international journal of critical & coronary care medicine
 Clin Lab Sci; Clinical laboratory science  journal of the American Society for Medical Technology
 Echocardiography; Echocardiography Mount Kisco NY
 Intensive Care World; Intensive care world
 J Aerosol Med; Journal of aerosol medicine  the official journal of the International Society for Aerosols in Medicine
 J Appl Biomater; Journal of applied biomaterials  an official journal of the Society for Biomaterials
 J Clin Laser Med Surg; Journal of clinical laser medicine & surgery
 J Extra Corpor Technol; The journal of extra-corporeal technology
 Bull Biol Fr Belg; Bulletin biologique de la France et de la Belgique
 J Gynecol Surg; Journal of gynecologic surgery
 Can J Comp Med Vet Sci; Canadian journal of comparative medicine and veterinary science
 J Invasive Cardiol; The Journal of invasive cardiology
 Monatsschr Unfallheilkd Versicher Versorg Verkehrsmed; Monatsschrift fur Unfallheilkunde Versicherungs- Versorgungs- und Verkehrsmedizin
 Nouv Rev Fr Hematol; Nouvelle revue francaise d'hematologie
 Eur J Disord Commun; European journal of disorders of communication  the journal of the College of Speech and Language Therapists London
 Acta Paediatr Suppl; Acta paediatrica Oslo Norway  1992 Supplement
 Intern Med; Internal medicine Tokyo Japan
 Zentralbl Bakteriol; Zentralblatt fur Bakteriologie  international journal of medical microbiology
 Naunyn Schmiedebergs Arch Exp Pathol Pharmakol; Naunyn-Schmiedebergs Archiv fur experimentelle Pathologie und Pharmakologie
 Naunyn Schmiedebergs Arch Pharmakol Exp Pathol; Naunyn-Schmiedebergs Archiv fur Pharmakologie und experimentelle Pathologie
 Curr Opin Cardiol; Current opinion in cardiology
 Neonatal Intensive Care; Neonatal intensive care  the journal of perinatology-neonatology
 Bull Am Coll Surg; Bulletin of the American College of Surgeons
 Perfusion; Perfusion
 Bull Anim Health Prod Afr; Bulletin of animal health and production in Africa Bulletin des sante et production animales en Afrique
 Prehosp Disaster Med; Prehospital and disaster medicine
 Semin Arthroplasty; Seminars in arthroplasty
 Semin Ophthalmol; Seminars in ophthalmology
 Curr Opin Neurol Neurosurg; Current opinion in neurology and neurosurgery
 Transfus Sci; Transfusion science
 Bull Bronx Cty Dent Soc; Bulletin Bronx County Dental Society
 Indian J Biochem; Indian journal of biochemistry
 Med J Malaya; The Medical journal of Malaya
 Biosci Biotechnol Biochem; Bioscience biotechnology and biochemistry
 Bull Calcutta Sch Trop Med; Bulletin of the Calcutta School of Tropical Medicine
 Lab Anim Care; Laboratory animal care
 Nebr State Med J; The Nebraska state medical journal
 Odontol Revy Suppl; Odontologisk revy Supplement
 Bull Cancer; Bulletin du cancer
 Osteoporos Int; Osteoporosis international  a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA
 Pept Res; Peptide research
 Probl Vet Med; Problems in veterinary medicine
 Pulm Pharmacol; Pulmonary pharmacology
 Reprod Toxicol; Reproductive toxicology Elmsford NY
 Transfus Med Rev; Transfusion medicine reviews
 Z Krebsforsch; Zeitschrift fur Krebsforschung
 Z Prakt Anasth; Zeitschrift fur praktische Anasthesie und Wiederbelebung
 Naunyn Schmiedebergs Arch Pharmakol; Naunyn-Schmiedebergs Archiv fur Pharmakologie
 Br J Theatre Nurs; The British journal of theatre nursing  NATNews  the official journal of the National Association of Theatre Nurses
 Mod Healthc Short Term Care; Modern healthcare Short-term care ed
 Clin J Pain; The Clinical journal of pain
 Behav Med; Behavioral medicine Washington DC
 Beitr Silikoseforsch; Beitrage zur Silikose-Forschung
 Crit Rev Eukaryot Gene Expr; Critical reviews in eukaryotic gene expression
 Drugs Aging; Drugs & aging
 Glycobiology; Glycobiology
 Histol Histopathol; Histology and histopathology
 J Card Surg; Journal of cardiac surgery
 J Magn Reson Imaging; Journal of magnetic resonance imaging  JMRI
 J Spinal Disord; Journal of spinal disorders
 J Vasc Interv Radiol; Journal of vascular and interventional radiology  JVIR
 Mamm Genome; Mammalian genome  official journal of the International Mammalian Genome Society
 Math Biosci; Mathematical biosciences
 Nutrition; Nutrition Burbank Los Angeles County Calif
 Optom Clin; Optometry clinics  the official publication of the Prentice Society
 Bull Chem Soc Jpn; Bulletin of the Chemical Society of Japan
 Bull Chest Dis Res Inst Kyoto Univ; Bulletin of the Chest Disease Research Institute Kyoto University
 Bull Cincinnati Dent Soc; The Bulletin of the Cincinnati Dental Society
 Bull Clin Neurosci; Bulletin of clinical neurosciences
 Bull Cleve Dent Soc; The Bulletin of the Cleveland Dental Society
 Columbus Dent Soc Bull; Bulletin Columbus Dental Society
 Bull Eleventh Dist Dent Soc; Bulletin of the Eleventh District Dental Society
 Bull Dayton Dent Soc; Bulletin Dayton Ohio Dental Society
 Bull Endem Dis Baghdad; Bulletin of endemic diseases
 J Stone Dis; The Journal of stone disease
 Ross Med Zh; Rossiiskii meditsinskii zhurnal  organ Ministerstva zdravookhraneniia RSFSR
 Beginnings; Beginnings American Holistic Nurses' Association
 J Am Med Womens Assoc; Journal of the American Medical Women's Association
 Bull Dent Guid Counc Cereb Palsy; Bulletin of the Dental Guidance Council for Cerebral Palsy
 Gesundheitswesen; Gesundheitswesen Bundesverband der Arzte des Offentlichen Gesundheitsdienstes Germany
 Psychother Med Psychol Stuttg; Psychotherapie und medizinische Psychologie
 Rev Esp Anestesiol; Revista espanola de anestesiologia
 Z Immunitatsforsch Allerg Klin Immunol; Zeitschrift fur Immunitatsforschung Allergie und klinische Immunologie
 Bull Entomol Res; Bulletin of entomological research
 Physician Assist Health Pract; Physician assistant Health practitioner
 Bull Environ Contam Toxicol; Bulletin of environmental contamination and toxicology
 Bacteriol Virusol Parazitol Epidemiol; Bacteriologia virusologia parazitologia epidemiologia Bucharest Romania  1990
 Offentl Gesundheitsdienst; Der Offentliche Gesundheitsdienst
 Bull Epizoot Dis Afr; Bulletin of epizootic diseases of Africa Bulletin des epizooties en Afrique
 J Fr Otorhinolaryngol Audiophonol Chir Maxillofac; Journal francais d'oto-rhino-laryngologie audio-phonologie et chirurgie maxillo-faciale
 J Fr Otorhinolaryngol Chir Maxillofac; Journal francais d'oto-rhino-laryngologie et chirurgie maxillo-faciale
 Bull Essex Cty Dent Soc; The Bulletin - Essex County Dental Society
 JFORL J Fr Otorhinolaryngol Audiophonol Chir Maxillofac; JFORL Journal francais d'oto-rhino-laryngologie audiophonologie et chirurgie maxillo-faciale
 Surg Today; Surgery today
 EXS; EXS
 Newsl Int Acad Periodontol; Newsletter International Academy of Periodontology
 Trends Health Care Law Ethics; Trends in health care law & ethics
 Intensive Crit Care Nurs; Intensive & critical care nursing
 Bull Exp Biol Med; Bulletin of experimental biology and medicine
 G Endodonzia; Giornale di endodonzia
 J Intellect Disabil Res; Journal of intellectual disability research  JIDR
 Acta Paediatr; Acta paediatrica Oslo Norway  1992
 Nat Immun; Natural immunity
 J Assoc Acad Minor Phys; Journal of the Association for Academic Minority Physicians  the official publication of the Association for Academic Minority Physicians
 Biodegradation; Biodegradation
 Bull Fed Soc Gynecol Obstet Lang Fr; Bulletin de la Federation des societes de gynecologie et dobstetrique de langue francaise
 Bioseparation; Bioseparation
 J Assist Reprod Genet; Journal of assisted reproduction and genetics
 J Leukoc Biol Suppl; Journal of leukocyte biology Supplement
 Proc Annu Symp Comput Appl Med Care; Proceedings Symposium on Computer Applications in Medical Care
 Bull Am Assoc Hist Nurs; Bulletin American Association for the History of Nursing
 Bull Fifth Dist Dent Soc Fresno; The Bulletin of the Fifth District Dental Society
 J Sch Nurs; The Journal of school nursing  the official publication of the National Association of School Nurses
 Ophthalmologe; Der Ophthalmologe  Zeitschrift der Deutschen Ophthalmologischen Gesellschaft
 Bull Fifth Dist Dent Soc State N Y; Bulletin Of The Fifth District Dental Society Of The State Of New York
 Bull Eur Physiopathol Respir; Bulletin europeen de physiopathologie respiratoire
 Diamond; Diamond Philadelphia Pa
 Aust Crit Care; Australian critical care  official journal of the Confederation of Australian Critical Care Nurses
 Acta Med Croatica; Acta medica Croatica  casopis Hravatske akademije medicinskih znanosti
 Annu Rev Biophys Biomol Struct; Annual review of biophysics and biomolecular structure
 Prakt Kieferorthop; Praktische Kieferorthopadie
 Prof Care Mother Child; Professional care of mother and child
 Contemp Nurse; Contemporary nurse
 Clin Odontol; Clinic odontologia  la revue de l'omnipraticien
 Clin Investig; The Clinical investigator
 Can J Commun Ment Health; Canadian journal of community mental health = Revue canadienne de sante mentale communautaire
 Med Des Mater; Medical design and material
 Rehab Manag; Rehab management
 Am J Card Imaging; American journal of cardiac imaging
 Contemp Intern Med; Contemporary internal medicine
 Contemp Pediatr; Contemporary pediatrics
 Contemp Urol; Contemporary urology
 J Crit Illn; The Journal of critical illness
 J Insur Med; Journal of insurance medicine New York NY
 J Intensive Care Med; Journal of intensive care medicine
 J Interv Cardiol; Journal of interventional cardiology
 J Neurosurg Anesthesiol; Journal of neurosurgical anesthesiology
 Bull Group Eur Rech Sci Stomatol Odontol; Bulletin de Groupement europeen pour la recher che scientifique en stomatologie & odontologie
 LMT; LMT  Lab management today
 Healthc Inf Manage; Healthcare information management  journal of the Healthcare Information and Management Systems Society of the American Hospital Association
 Braz Dent J; Brazilian dental journal
 Antisense Res Dev; Antisense research and development
 Bull Group Int Rech Sci Stomatol; Bulletin du Groupement international pour la recherche scientifique en stomatologie
 Cereb Cortex; Cerebral cortex New York NY  1991
 Emerg Nurse; Emergency nurse  the journal of the RCN Accident and Emergency Nursing Association
 Arch Med Res; Archives of medical research
 Biometals; Biometals  an international journal on the role of metal ions in biology biochemistry and medicine
 Zhongguo Zhong Xi Yi Jie He Za Zhi; Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine
 Br J Nurs; British journal of nursing Mark Allen Publishing
 Periodontal Clin Investig; Periodontal clinical investigations  official publication of the Northeastern Society of Periodontists
 Bull Group Int Rech Sci Stomatol Odontol; Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie
 Bull Hist Dent; Bulletin of the history of dentistry
 Bildgebung; Bildgebung = Imaging
 Biomed Chromatogr; Biomedical chromatography  BMC
 Bull Hist Med; Bulletin of the history of medicine
 Biomed Environ Mass Spectrom; Biomedical & environmental mass spectrometry
 Popul Rep D; Population reports Washington DC Series D Male sterilization
 Exp Toxicol Pathol; Experimental and toxicologic pathology  official journal of the Gesellschaft fur Toxikologische Pathologie
 Biorheology Suppl; Biorheology Supplement  the official journal of the International Society of Biorheology
 Biotechnology; Biotechnology Reading Mass
 J Periodontal Res Suppl; Journal of periodontal research Supplement
 Infusionsther Transfusionsmed; Infusionstherapie und Transfusionsmedizin
 Nurs Prax N Z; Nursing praxis in New Zealand inc
 MNA Accent; MNA accent
 Concern; Concern Regina Sask
 Top Health Inf Manage; Topics in health information management
 Int Arch Allergy Immunol; International archives of allergy and immunology
 Office; The Office
 Clin Auton Res; Clinical autonomic research  official journal of the Clinical Autonomic Research Society
 Curr Opin Genet Dev; Current opinion in genetics & development
 Br J Addict; British journal of addiction
 Curr Opin Neurobiol; Current opinion in neurobiology
 Dev Immunol; Developmental immunology
 Eur J Ophthalmol; European journal of ophthalmology
 Eur Neuropsychopharmacol; European neuropsychopharmacology  the journal of the European College of Neuropsychopharmacology
 Gene Expr; Gene expression
 Glycoconj J; Glycoconjugate journal
 Bull Hosp Joint Dis; Bulletin of the Hospital for Joint Diseases
 Bull Hosp Jt Dis Orthop Inst; Bulletin of the Hospital for Joint Diseases Orthopaedic Institute
 J Biomol NMR; Journal of biomolecular NMR
 J Expo Anal Environ Epidemiol; Journal of exposure analysis and environmental epidemiology
 J Neuropsychiatry Clin Neurosci; The Journal of neuropsychiatry and clinical neurosciences
 J Subst Abuse; Journal of substance abuse
 J Trace Elem Electrolytes Health Dis; Journal of trace elements and electrolytes in health and disease
 Melanoma Res; Melanoma research
 Neuromuscul Disord; Neuromuscular disorders  NMD
 Neurosurg Clin N Am; Neurosurgery clinics of North America
 Plant Cell; The Plant cell
 Protein Expr Purif; Protein expression and purification
 Thyroid; Thyroid  official journal of the American Thyroid Association
 Soc Probl; Social problems
 Womens Health Issues; Women's health issues  official publication of the Jacobs Institute of Women's Health
 Bull Hudson Cty Dent Soc; Bulletin Hudson County Dental Society Jersey City
 Leadersh Health Serv; Leadership in health services = Leadership dans les services de sante
 Eur Arch Otorhinolaryngol Suppl; European archives of oto-rhino-laryngology Supplement
 Gynakol Geburtshilfliche Rundsch; Gynakologisch-geburtshilfliche Rundschau
 Pneumoftiziologia; Pneumoftiziologia  revista Societatii Romane de Pneumoftiziologie
 Bull Soc Pathol Exot; Bulletin de la Societe de pathologie exotique 1990
 Bull Hyg Lond; Bulletin of hygiene
 Bull Ill Dent Hyg Assoc; The bulletin of the Illinois Dental Hygienist's Association Illinois Dental Hygienists' Association
 Clin Trials Metaanal; Clinical trials and meta-analysis
 Bull Infirm Cathol Can; Bulletin des infirmieres catholiques du Canada
 Seiroka Kango Daigaku Kiyo; Sei Roka Kango Daigaku kiyo
 J AOAC Int; Journal of AOAC International
 Faraday Discuss; Faraday discussions
 Bull Inst Marit Trop Med Gdynia; Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia
 Dent Assist J; The Dental assistant journal  journal of the American Dental Assistants Association
 Am J Med Qual; American journal of medical quality  the official journal of the American College of Medical Quality
 Birth Gaz; The Birth gazette
 Pol J Occup Med Environ Health; Polish journal of occupational medicine and environmental health
 Vestn Ross Akad Med Nauk; Vestnik Rossiiskoi akademii meditsinskikh nauk
 Popul Rep C; Population reports Washington DC Series C Female sterilization
 Health Matrix Clevel; Health matrix Cleveland Ohio  1991
 Aust Dent Pract; Australian dental practice
 Dent World; Dental world London England
 Children; Children Washington DC
 Arch Virol Suppl; Archives of virology Supplementum
 Strateg Healthc Excell; Strategies for healthcare excellence  organizational productivity quality and effectiveness
 Contract Des; Contract design
 ASHA Suppl; ASHA Supplement
 Tex Heart Inst J; Texas Heart Institute journal
 Can Fam Physician; Canadian family physician Medecin de famille canadien
 J Formos Med Assoc; Journal of the Formosan Medical Association = Taiwan yi zhi
 Blood Rev; Blood reviews
 Bull Inst Med Res Univ Madr; Bulletin of the Institute for Medical Research University of Madrid
 Bull Int Union Tuberc Lung Dis; Bulletin of the International Union against Tuberculosis and Lung Disease
 Brain Res Cogn Brain Res; Brain research Cognitive brain research
 Bull Inst Natl Sante Rech Med; Bulletin de l'Institut national de la sante et de la recherche medicale
 Acta Ophthalmol Suppl; Acta ophthalmologica Supplement
 Diskussionsforum Med Ethik; Diskussionsforum medizinische Ethik
 Addiction; Addiction Abingdon England
 J Healthc Risk Manag; Journal of healthcare risk management  the journal of the American Society for Healthcare Risk Management
 Bull Int Union Tuberc; Bulletin of the International Union against Tuberculosis
 Br J Biomed Sci; British journal of biomedical science
 Reflections; Reflections
 Nurse Pract Forum; Nurse practitioner forum
 Anesth Pain Control Dent; Anesthesia & pain control in dentistry
 Q Rev Econ Finance; The Quarterly review of economics and finance  journal of the Midwest Economics Association
 Bone Miner; Bone and mineral
 BMJ; BMJ Clinical research ed
 Bull Hosp Jt Dis; Bulletin Hospital for Joint Diseases New York NY
 Eksp Klin Farmakol; Eksperimental'naia i klinicheskaia farmakologiia
 Undersea Hyperb Med; Undersea & hyperbaric medicine  journal of the Undersea and Hyperbaric Medical Society Inc
 Josai Shika Daigaku Kiyo; Josai Shika Daigaku kiyo The Bulletin of the Josai Dental University
 Abdom Imaging; Abdominal imaging
 Eur J Cancer B Oral Oncol; European journal of cancer Part B Oral oncology
 Curr Microbiol; Current microbiology
 Zoolog Sci; Zoological science
 CRNA; CRNA  the clinical forum for nurse anesthetists
 J Case Manag; Journal of case management
 Stem Cells; Stem cells Dayton Ohio
 Spectrum; Spectrum Lexington Ky
 Kobe Ika Daigaku Kiyo; Kobe Ika Daigaku kiyo
 Physiol Meas; Physiological measurement
 Nurs Staff Dev Insid; Nursing staff development insider
 Dokl Akad Nauk; Doklady Akademii nauk
 Cell Mol Biol Noisy-le-grand; Cellular and molecular biology Noisy-le-Grand France
 Bull Los Angeles Dent Soc; Bulletin of the Los Angeles Dental Society
 Izv Akad Nauk Ser Biol; Izvestiia Akademii nauk Seriia biologicheskaia
 Planta; Planta
 Biomed Mater Eng; Bio-medical materials and engineering
 Biotechnol Ther; Biotechnology therapeutics
 Cancer Epidemiol Biomarkers Prev; Cancer epidemiology biomarkers & prevention  a publication of the American Association for Cancer Research cosponsored by the American Society of Preventive Oncology
 Bull Los Angeles Neurol Soc; Bulletin of the Los Angeles neurological societies
 Cytokines; Cytokines
 Ethn Dis; Ethnicity & disease
 Eur J Cancer Prev; European journal of cancer prevention  the official journal of the European Cancer Prevention Organisation ECP
 Ger J Ophthalmol; German journal of ophthalmology
 Growth Regul; Growth regulation
 Leuk Lymphoma; Leukemia & lymphoma
 Mol Genet Med; Molecular genetic medicine
 Bull Mass Nurses Assoc; Bulletin of the Massachusetts Nurses Association
 Natl Med J India; The National medical journal of India
 Neurochem Int; Neurochemistry international
 PCR Methods Appl; PCR methods and applications
 Protein Sci; Protein science  a publication of the Protein Society
 Receptor; Receptor
 Nurs Qual Connect; Nursing quality connection
 Clin Nurs Res; Clinical nursing research
 Vigilando; Vigilando
 J Orofac Pain; Journal of orofacial pain
 Can Commun Dis Rep; Canada communicable disease report = Releve des maladies transmissibles au Canada
 Cent Eur J Public Health; Central European journal of public health
 Pharm World Sci; Pharmacy world & science  PWS
 Biol Cell; Biology of the cell
 Biochem Mol Biol Int; Biochemistry and molecular biology international
 Bull Math Biol; Bulletin of mathematical biology
 Braz J Med Biol Res; Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas
 Bull Math Biophys; The Bulletin of mathematical biophysics
 Br J Audiol; British journal of audiology
 J Health Care Inter Des; Journal of health care interior design  proceedings from the  Annual National Symposium on Health Care Interior Design National Symposium on Health Care Interior Design US
 Br J Audiol Suppl; British journal of audiology Supplement
 Br J Clin Psychol; The British journal of clinical psychology
 J Healthc Des; Journal of healthcare design  proceedings from the  Symposium on Healthcare Design Symposium on Healthcare Design
 Pneumonol Alergol Pol; Pneumonologia i alergologia polska
 Bone Marrow Transplant; Bone marrow transplantation
 Nucl Med Biol; Nuclear medicine and biology
 Health Care Reform Week; Health care reform week
 Rom J Intern Med; Romanian journal of internal medicine = Revue roumaine de medecine interne
 Can J Appl Physiol; Canadian journal of applied physiology = Revue canadienne de physiologie appliquee
 Bull Med Libr Assoc; Bulletin of the Medical Library Association
 Bull Mem Acad R Med Belg; Bulletin et memoires de l'Academie royale de medecine de Belgique
 AWHONN Voice; AWHONN voice
 Bull Mem Soc Chir Paris; Bulletin et memoires de la Societe des chirurgiens de Paris
 Clin Exp Hypertens; Clinical and experimental hypertension New York NY  1993
 FEMS Immunol Med Microbiol; FEMS immunology and medical microbiology
 Bull Mem Soc Fr Ophtalmol; Bulletins et memoires de la Societe francaise d'ophtalmologie
 Aviakosm Ekolog Med; Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine
 Mainlines; MainLines  the newsletter for the Midwest Alliance in Nursing
 Midwest Alliance Nurs J; Midwest Alliance in Nursing journal
 Bull Mem Soc Med Hop Paris; Bulletins et memoires de la Societe medicale des hopitaux de Paris
 Elder Care; Elderly care
 Johns Hopkins Nurses Alumni Mag; The Johns Hopkins Nurses' alumni magazine
 Phillip J; Phillip Journal
 Bull Menninger Clin; Bulletin of the Menninger Clinic
 Bull Mens Soc Med Mil Fr; Bulletin mensuel - Societe de medecine militaire francaise
 Bull Mich Dent Hyg Assoc; The Bulletin of the Michigan Dental Hygienists' Association
 Mater Manag Health Care; Materials management in health care
 Cell Biol Int; Cell biology international
 Implant Dent; Implant dentistry
 Occas Pap R Coll Gen Pract; Occasional paper Royal College of General Practitioners
 Eur J Prosthodont Restor Dent; The European journal of prosthodontics and restorative dentistry
 Bull Midtown Dent Soc; Bulletin / Midtown Dental Society
 Biol Pharm Bull; Biological & pharmaceutical bulletin
 Monaldi Arch Chest Dis; Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace
 Neurobiology Bp; Neurobiology Budapest Hungary
 Bull Monmouth Ocean Cty Dent Soc; Bulletin / Monmouth-Ocean County Dental Society
 Bull Montg Bucks Dent Soc; Bulletin Montgomery-Bucks Dental Society
 Bull Narc; Bulletin on narcotics
 Eisei Shikenjo Hokoku; Eisei Shikenjo hokoku Bulletin of National Institute of Hygienic Sciences
 Nurs Hist Rev; Nursing history review  official journal of the American Association for the History of Nursing
 Bull Natl Med Dent Assoc Natl Advocates Soc; Bulletin National Medical and Dental Association US
 Qual Health Res; Qualitative health research
 Bull Newark Dent Club; Bulletin of the Newark Dental Club
 Bull Ninth Dist Dent Soc; Bulletin Ninth District Dental Society of the State of New York
 Appl Radiat Isot; Applied radiation and isotopes  including data instrumentation and methods for use in agriculture industry and medicine
 Bull N J Coll Med Dent; Bulletin Of The New Jersey College Of Medicine And Dentistry
 J Physiol Paris; Journal of physiology Paris
 Superv Manage; Supervisory management
 Bull N J Soc Dent Child; Bulletin - New Jersey Society of Dentistry for Children
 Bull North Dist Dent Soc; Bulletin - Northern District Dental Society
 Qual Life Res; Quality of life research  an international journal of quality of life aspects of treatment care and rehabilitation
 Time; Time
 Bull N Y Acad Med; Bulletin of the New York Academy of Medicine
 Health Educ Res; Health education research
 J Foot Ankle Surg; The Journal of foot and ankle surgery  official publication of the American College of Foot and Ankle Surgeons
 Bull N Y State Dent Soc Anesthesiol; Bulletin Of The New York State Dental Society Of Anesthesiology
 J Eukaryot Microbiol; The Journal of eukaryotic microbiology
 Rev Rhum Ed Fr; Revue du rhumatisme Ed francaise  1993
